price,neighbourhood,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,host_is_superhost,parking
160,Harlem,40.80491,-73.94866,Bed and breakfast,Private room,1.0,1,1,0.0,-1
180,Harlem,40.80334,-73.94805,Bed and breakfast,Private room,1.0,1,3,0.0,1
100,Inwood,40.87039,-73.91611,Apartment,Private room,1.0,1,1,0.0,-1
70,Brooklyn,40.704,-73.93285,Apartment,Private room,1.0,1,1,0.0,-1
110,Staten Island,40.62766,-74.07988,House,Private room,1.0,1,3,0.0,1
99,Manhattan,40.83434,-73.94027,Bed and breakfast,Private room,1.0,1,2,0.0,-1
90,Brooklyn,40.72049,-73.95221,Loft,Private room,1.0,1,1,1.0,1
75,Queens,40.7106799999999,-73.81577,Apartment,Private room,2.0,1,1,0.0,1
350,Flatiron District,40.74125,-73.98862,Loft,Entire home/apt,1.0,1,1,0.0,-1
85,Manhattan,40.82703,-73.94311,Apartment,Private room,1.0,1,1,0.0,1
250,Windsor Terrace,40.66106,-73.98316,House,Entire home/apt,1.5,2,4,0.0,1
300,Upper East Side,40.76494,-73.95804,Apartment,Entire home/apt,1.0,2,4,0.0,1
125,Harlem,40.80192,-73.95827,Apartment,Private room,1.0,1,1,0.0,-1
147,East Village,40.72812,-73.97966,Apartment,Entire home/apt,1.0,1,1,1.0,1
145,Williamsburg,40.7112099999999,-73.94669,Apartment,Entire home/apt,1.0,2,1,0.0,1
145,Manhattan,40.73448,-73.99797,Apartment,Entire home/apt,1.0,1,1,0.0,-1
75,Brooklyn,40.5781,-73.95455,Apartment,Entire home/apt,1.0,1,2,0.0,-1
95,Brooklyn,40.69321,-73.9442,Apartment,Entire home/apt,1.0,1,2,0.0,-1
275,Midtown East,40.75816,-73.96457,Apartment,Entire home/apt,1.0,1,1,0.0,1
175,Manhattan,40.73111,-73.98528,Apartment,Entire home/apt,1.0,1,1,0.0,-1
200,Manhattan,40.71804,-73.98565,Loft,Entire home/apt,1.0,2,2,0.0,-1
325,Midtown,40.7559,-73.99469,Apartment,Entire home/apt,1.0,1,1,0.0,-1
129,West Village,40.73041,-74.00498,Apartment,Entire home/apt,1.0,1,1,1.0,-1
130,Crown Heights,40.6764,-73.96218,Loft,Entire home/apt,1.5,2,1,1.0,-1
190,Brooklyn,40.70279,-73.98284,Apartment,Entire home/apt,1.0,1,1,0.0,1
